customer_id,age,gender,dependent_count,education_level,marital_status,estimated_income,months_on_book,total_relationship_count,months_inactive_12_mon,credit_limit,total_trans_amount,total_trans_count,avg_utilization_ratio
768805383,45,M,3,High School,Married,69000,39,5,1,12691.0,1144,42,0.061
818770008,49,F,5,Graduate,Single,24000,44,6,1,8256.0,1291,33,0.105
713982108,51,M,3,Graduate,Married,93000,36,4,1,3418.0,1887,20,0.0
769911858,40,F,4,High School,Unknown,37000,34,3,4,3313.0,1171,20,0.76
709106358,40,M,3,Uneducated,Married,65000,21,5,1,4716.0,816,28,0.0
713061558,44,M,2,Graduate,Married,54000,36,3,1,4010.0,1088,24,0.311
810347208,51,M,4,High School,Married,166000,46,6,1,34516.0,1330,31,0.066
818906208,32,M,0,High School,Unknown,66000,27,2,2,29081.0,1538,36,0.048
710930508,37,M,3,Uneducated,Single,77000,36,5,2,22352.0,1350,24,0.113
719661558,48,M,2,Graduate,Single,87000,36,6,3,11656.0,1441,32,0.144
708790833,42,M,5,Uneducated,Unknown,178000,31,5,3,6748.0,1201,42,0.217
710821833,65,M,1,Post-Graduate,Married,44000,54,6,2,9095.0,1314,26,0.174
710599683,56,M,1,College,Single,87000,36,3,6,11751.0,1539,17,0.0
816082233,35,M,3,Graduate,Unknown,73000,30,5,1,8547.0,1311,33,0.195
712396908,57,F,2,Graduate,Married,36000,48,5,2,2436.0,1570,29,0.279
714885258,44,M,4,Uneducated,Unknown,92000,37,5,1,4234.0,1348,27,0.23
709967358,48,M,4,Post-Graduate,Single,103000,36,6,2,30367.0,1671,27,0.078
753327333,41,M,3,Uneducated,Married,115000,34,4,4,13535.0,1028,21,0.095
806160108,61,M,1,High School,Married,41000,56,2,2,3193.0,1336,30,0.788
709327383,45,F,2,Graduate,Married,76000,37,6,1,14470.0,1207,21,0.08
806165208,47,M,1,Doctorate,Divorced,67000,42,5,2,20979.0,1178,27,0.086
708508758,62,F,0,Graduate,Married,24000,49,2,3,1438.3,692,16,0.0
784725333,41,M,3,High School,Married,59000,33,4,2,4470.0,931,18,0.152
