Id,CreationDate,Tags
"5","2014-05-13 23:58:30","<machine-learning>"
"7","2014-05-14 00:11:06","<education><open-source>"
"14","2014-05-14 01:25:59","<data-mining><definitions>"
"15","2014-05-14 01:41:23","<databases>"
"16","2014-05-14 01:57:56","<machine-learning><bigdata><libsvm>"
"19","2014-05-14 03:56:20","<bigdata><scalability><efficiency><performance>"
"20","2014-05-14 05:37:46","<nosql><relational-dbms>"
"22","2014-05-14 05:58:21","<data-mining><clustering><octave><k-means><categorical-data>"
"31","2014-05-14 08:38:07","<data-mining><clustering>"
"35","2014-05-14 09:51:54","<algorithms>"
"38","2014-05-14 10:44:58","<nosql><tools><processing><apache-hadoop>"
"41","2014-05-14 11:15:40","<bigdata><r>"
"50","2014-05-14 14:26:54","<r><databases><efficiency><tools>"
"52","2014-05-14 15:25:21","<r><data-cleaning>"
"59","2014-05-14 17:48:21","<apache-hadoop><r>"
"61","2014-05-14 18:09:01","<machine-learning><predictive-modeling>"
"69","2014-05-14 20:03:15","<processing>"
"71","2014-05-14 22:12:37","<bigdata><statistics>"
"75","2014-05-15 00:26:11","<statistics><bigdata>"
"76","2014-05-15 00:39:33","<bigdata><tools><data-stream-mining>"
"77","2014-05-15 01:22:35","<databases><nosql><neo4j>"
"81","2014-05-15 04:59:54","<definitions><parallel><distributed>"
"86","2014-05-15 09:04:09","<clustering>"
"89","2014-05-15 11:22:27","<bigdata><google><search>"
"94","2014-05-15 14:41:24","<recommender-system><information-retrieval>"
"102","2014-05-16 05:09:33","<nosql><performance>"
"103","2014-05-16 14:26:12","<clustering><algorithms><similarity>"
"107","2014-05-16 20:07:50","<tools><data-stream-mining>"
"113","2014-05-17 04:53:03","<bigdata><performance><databases><nosql>"
"115","2014-05-17 08:45:08","<data-mining><machine-learning>"
"116","2014-05-17 09:16:18","<machine-learning><dimensionality-reduction><python>"
"125","2014-05-17 21:52:34","<nosql>"
"128","2014-05-18 06:10:52","<nlp><topic-model><lda>"
"129","2014-05-18 06:17:37","<nlp><language-model>"
"130","2014-05-18 06:26:15","<feature-selection><feature-extraction><dimensionality-reduction>"
"60010","2019-09-11 04:34:27","<random-forest><xgboost><feature-engineering><feature-extraction>"
"60011","2019-09-11 04:45:45","<data><orange>"
"60017","2019-09-11 07:00:42","<python><keras><time-series><lstm><sequence>"
"60018","2019-09-11 07:23:05","<pandas><dataframe><matplotlib><reshape>"
"60019","2019-09-11 07:45:09","<python><implementation>"
"60020","2019-09-11 07:58:43","<machine-learning><deep-learning><predictive-modeling><statistics>"
"60029","2019-09-11 10:44:18","<machine-learning><neural-network><deep-learning><statistics><computer-vision>"
"60030","2019-09-11 10:58:38","<python><data-cleaning>"
"60035","2019-09-11 11:27:13","<python><neural-network><keras><tensorflow>"
"60037","2019-09-11 11:51:52","<deep-learning><classification><keras><convolutional-neural-network>"
"60039","2019-09-11 12:16:40","<python><feature-selection><correlation>"
"60044","2019-09-11 13:08:53","<machine-learning><linear-regression>"
"60047","2019-09-11 14:32:46","<python><pandas>"
"60048","2019-09-11 14:44:14","<time-series><predictive-modeling>"
"60051","2019-09-11 15:31:05","<education>"
"60052","2019-09-11 16:13:03","<pandas><correlation><mnist>"
"60056","2019-09-11 16:42:32","<machine-learning><data-science-model><nlp>"
"60067","2019-09-11 19:36:52","<python><pandas>"
"60071","2019-09-11 20:21:04","<keras>"
"60083","2019-09-11 23:35:23","<feature-extraction><categorical-data>"
"60092","2019-09-12 03:09:51","<machine-learning><neural-network><classification><keras>"
"60093","2019-09-12 03:18:18","<neural-network><bigdata><pca><dimensionality-reduction>"
"60095","2019-09-12 04:58:59","<dataset><bigdata>"
"60097","2019-09-12 05:45:43","<python><pandas>"
"60104","2019-09-12 07:49:29","<machine-learning><keras><tensorflow><computer-vision>"
"60107","2019-09-12 09:49:15","<python><scikit-learn><hyperparameter-tuning><grid-search><pipelines>"
"60108","2019-09-12 10:03:44","<svm>"
"60112","2019-09-12 11:05:10","<categorical-data><missing-data><encoding>"
"60113","2019-09-12 11:13:22","<python><pandas><data-cleaning><dataframe>"
"60119","2019-09-12 13:30:23","<python><scikit-learn><pandas><numpy>"
"60122","2019-09-12 15:15:27","<python><deep-learning><keras><class-imbalance><hyperparameter-tuning>"
"60124","2019-09-12 16:00:22","<algorithms>"
"60126","2019-09-12 17:34:38","<python><keras><reshape>"
"60127","2019-09-12 17:51:00","<tensorflow>"
"60128","2019-09-12 17:51:29","<image-classification><computer-vision><image-recognition>"
"60129","2019-09-12 18:10:24","<machine-learning><recommender-system><transfer-learning>"
"60130","2019-09-12 19:16:28","<machine-learning><python>"
"60133","2019-09-12 22:53:42","<python><classification><bigdata><multilabel-classification><jupyter>"
"60139","2019-09-13 04:07:16","<python><keras><tensorflow><image-classification>"
"60146","2019-09-13 09:28:35","<outlier>"
"60157","2019-09-13 11:42:24","<python><deep-learning><pytorch>"
"60164","2019-09-13 15:17:47","<r>"
"60169","2019-09-13 18:34:31","<machine-learning><python><keras><cnn><image-classification>"
"60170","2019-09-13 19:02:24","<machine-learning><neural-network><keras><regression>"
"60174","2019-09-13 22:46:40","<pandas>"
"60178","2019-09-14 00:29:17","<r>"
"60179","2019-09-14 02:24:03","<machine-learning><image-preprocessing>"
"60180","2019-09-14 08:32:57","<python><data-cleaning>"
"60183","2019-09-14 09:52:33","<neural-network><keras>"
"89141","2021-02-09 08:35:04","<keras><tensorflow><cnn><pytorch>"
"89142","2021-02-09 09:05:25","<deep-learning><keras><tensorflow><optimization><metric>"
"89143","2021-02-09 09:05:41","<machine-learning><python><regression>"
"89144","2021-02-09 09:08:06","<python><pandas>"
"89148","2021-02-09 10:39:31","<python><logistic-regression><cross-validation>"
"89150","2021-02-09 11:34:49","<machine-learning><time-series><lstm><statistics>"
"89159","2021-02-09 15:24:31","<machine-learning><scikit-learn><regression>"
"89160","2021-02-09 15:43:38","<machine-learning><validation>"
"89164","2021-02-09 16:06:32","<deep-learning>"
"89165","2021-02-09 16:12:27","<loss-function><pytorch>"
"89169","2021-02-09 16:24:27","<word-embeddings><topic-model><lda>"
"89171","2021-02-09 16:52:29","<r><aggregation>"
